Kategori,Satış Komisyonu (+KDV)
Fotoğraf Makinesi,9%
Ev Eğlence Sistemleri,11.5%
Cep Telefonu,8%
Giyim,15.5%
Bilgisayar,7%
Elektronik,9.5%
Elektronik Aksesuarlar,11%
Kişisel Bakım Cihazları,13.6%
Yapı Market,12.7%
Mutfak Eşyaları ve Dekorasyon,15%
Bahçe,14%
Mobilya,14.5%
Mutfak (Küçük Ev Aletleri),11%
Beyaz Eşyalar,7%
Oyuncaklar ve Oyunlar,13%
Kitaplar,10.2%
Bebek Ürünleri (Giyim hariç),11.5%
Ofis Ürünleri,13%
Spor,10%
"Ayakkabılar, Kol Çantaları ve Ayakkabı Aksesuarları",17%
Kol Saatleri,15.5%
Bavullar ve Seyahat Aksesuarları,16%
Kişisel Bakım ve Kozmetik (≤500 TL),9%
Kişisel Bakım ve Kozmetik (>500 TL),14%
Sağlık ve Kişisel Bakım,13.5%
Gıda Ürünleri (≤500 TL),9%
Gıda Ürünleri (>500 TL),13%
Video Oyunu Konsolları,8.5%
Video Oyunları,10%
Otomotiv ve Motosiklet,12.5%
Evcil Hayvan Ürünleri,13.5%
Takı (≤900 TL),20%
Takı (>900 TL),6%
Diğer,10%
