Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Parfüm,,"& Kişisel BaAkiılme Planlaması, Cinsel Sağlık",17.0
Parfüm,,& Kişisel BaAkğımız Diş Bakım,16.0
Parfüm,,& Kişisel BaCkiılmt Bakımı,16.0
Parfüm,,"& Kişisel BaDkıumş, Banyo",16.0
Parfüm,,"& Kişisel BaEklı,m Ayak, Tırnak Bakımı",16.0
Parfüm,,"& Kişisel BaEkpımilasyon, Ağda",16.0
Parfüm,,& Kişisel BaEkrıkmek Kişisel Bakım Ürünleri,16.0
Parfüm,,& Kişisel BaGkıümneş Bakımı,16.0
Parfüm,,"& Kişisel BaKkaımdın Ped, Hijyen",16.0
Parfüm,,& Kişisel BaMkımakyaj,16.0
Parfüm,,& Kişisel BaPkaımrfüm Hediye Setleri 27% Değişiklik Yok,21.0
Parfüm,,& Kişisel BaSkaımç Bakımı,16.0
Parfüm,,"& Kişisel BaSkaımğlık, Medikal",15.0
Hobi,,3D Oyuncak Baskı Ürünleri,16.0
Ev & Yaşam,,Abajur,27.0
Moda,,Abiye Ayakkabı,25.0
Moda,,Abiye Çanta,25.0
Moda,,Abiye&Mezuniyet,30.0
Spor&Outdoor,,Adım Ölçer (Pedometre),15.0
Spor&Outdoor,,Airsoft Bilyesi,18.0
Oyuncak,,Aksesuar,16.0
Spor&Outdoor,,"Aksiyon Kamerası Aksesuar, Ekipman",15.0
Elektronik,,Akıllı Ev Sistemleri,15.0
Elektronik,,Alarm Sistemi (Komple Set),15.0
Spor&Outdoor,,Alyan Seti,18.0
Ev & Yaşam,,Amerikan Servis,27.0
Ev & Yaşam,,Amerikan servis,27.0
Spor&Outdoor,,Amortisör Yağı,18.0
Spor&Outdoor,,"Amortisör, Maşa Grubu",18.0
Ev & Yaşam,,Anahtar Dolabı,20.0
Anne & Bebek,,Anne Gıda Takviyesi,16.0
Ev & Yaşam,,"Antre, Hol Dresuar",20.0
Oto Aksesuar,,Arma Sticker,27.0
Ev & Yaşam,,Askılık,20.0
Spor&Outdoor,,Atlama İpi,15.0
Moda,,Atlet,25.0
Moda,,"Atlet, Fanila",25.0
