Ana Kategori,Kategori,Ürün Grubu,komisyon,vade,Komisyon_%_KDV_Dahil
Aksesuar,Atkı & Bere & Eldiven,adidas,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Asics,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Casio,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Colin's,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Columbia,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,converse,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Decathlon,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Diesel,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Dockers,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Helly Hansen,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,HUMMEL,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Jack & Jones,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Jack Wolfskin,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Lee,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Lee Cooper,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Levi's,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Loft,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Lotto,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Ltb,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Mavi,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Merrell,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,MOON BOOT,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,NATIONAL GEOGRAPHIC,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,New Balance,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Nike,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Only & Sons,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Puma,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Quiksilver,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Reebok,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Salomon,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Seiko,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,SKECHERS,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,THE NORTH FACE,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Timberland,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Under Armour,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Vans,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Wrangler,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Riders by Lee,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,ALL TERRAIN GEAR -x- Wrangler,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Bad Bear,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Cross Jeans,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Jump,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Kappa,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,Lescon,21.36%,28,21.36
Aksesuar,Atkı & Bere & Eldiven,LETOON,21.36%,28,21.36
