Ana Kategori,Kategori,Ürün Grubu,komisyon,vade,Komisyon_%_KDV_Dahil,Uygulanan_Komisyon_%_KDV_Dahil
Aksesuar,Aksesuar,Atkı,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Atkı & Bere & Eldiven Set,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Bere,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Boyunluk,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Eldiven,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Kemer,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Kol düğmesi,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Kravat & Pantolon askısı,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Saç aksesuarı,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Aksesuar,Şapka,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Bijuteri Bileklik,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Bijuteri Kolye,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Choker,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Gümüş Bileklik,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Gümüş Kolye,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Gümüş Küpe,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Halhal&Ayak Aksesuarları,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Çelik Bileklik,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Altın / Takı / Mücevher,Çelik Kolye,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Saat/Gözlük,Duvar Saatleri,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Saat/Gözlük,Güneş Gözlüğü,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Saat/Gözlük,Kol Saatleri,"18,0%",Teslimat +28 Gün,18.0,18.0
Aksesuar,Saat/Gözlük,Saat Aksesuarları,"18,0%",Teslimat +28 Gün,18.0,18.0
Altın,Altın Yatırım,Gram Altın,"4,0%",Teslimat +28 Gün,4.0,4.0
Altın,Altın Yatırım,Hesaba Altın,"4,0%",Teslimat +28 Gün,4.0,4.0
Altın,Altın Yatırım,Tam Altın,"4,0%",Teslimat +28 Gün,4.0,4.0
Altın,Altın Yatırım,Yarım Altın,"4,0%",Teslimat +28 Gün,4.0,4.0
Altın,Altın Yatırım,Çeyrek Altın,"4,0%",Teslimat +28 Gün,4.0,4.0
Anne Bebek Ürünleri,Anne / Bebek Bakım,Aktivite setleri,"16,0%",Teslimat +28 Gün,16.0,16.0
Anne Bebek Ürünleri,Anne / Bebek Bakım,Ana kucağı ve Oto Koltuğu,"16,0%",Teslimat +28 Gün,16.0,16.0
Anne Bebek Ürünleri,Anne / Bebek Bakım,Bebek Bezi,"12,5%",Teslimat +28 Gün,12.5,12.5
Anne Bebek Ürünleri,Anne / Bebek Bakım,Bebek Güvenlik,"16,0%",Teslimat +28 Gün,16.0,16.0
Anne Bebek Ürünleri,Anne / Bebek Bakım,Bebek Nevresim Takımları,"16,0%",Teslimat +28 Gün,16.0,16.0
Anne Bebek Ürünleri,Anne / Bebek Bakım,Islak Mendil,"12,5%",Teslimat +28 Gün,12.5,12.5
Anne Bebek Ürünleri,Anne / Bebek Bakım,Mayo Bebek Bezi,"12,5%",Teslimat +28 Gün,12.5,12.5
