Kategori,Alt Kategori,Ürün Grubu,komisyon,Komisyon_%_KDV_Dahil
Kampanyalı,Kampanyalı,Kampanyalı,nan%,
Ayakkabı,Ayakkabı,Bakım Boyası,18%,18.0
Ayakkabı,Ayakkabı,Bakım,18%,18.0
Ayakkabı,Ayakkabı,Bakım,18%,18.0
Ayakkabı,Ayakkabı,Bakım,18%,18.0
Ayakkabı,Ayakkabı,Bakım,18%,18.0
Ayakkabı,Ayakkabı,Bakım Terlik Terlik,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Valiz Seti,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Seyahat,Seyahat,Kozmetik Kozmetik,18%,18.0
Valiz,Valiz,Valiz,18%,18.0
Erkek,Erkek,Çocuk Çocuk Bot,18%,18.0
Erkek,Erkek,Çocuk,18%,18.0
Erkek,Erkek,Çocuk Çocuk,18%,18.0
Erkek,Erkek,Çocuk Çocuk,18%,18.0
Erkek,Erkek,Çocuk,18%,18.0
Erkek,Erkek,Çocuk,18%,18.0
Kız,Kız,Günlük,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kız,Kız,Bot,18%,18.0
Kız,Kız,Ev Terliği,18%,18.0
Kız,Kız,Deniz,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kız,Kız,Topuklu,18%,18.0
Kız,Kız,El & Sırt,18%,18.0
Kız,Kız,Bel,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Erkek,Erkek,Çocuk,18%,18.0
Erkek,Erkek,Çocuk Çocuk Bel,18%,18.0
Erkek,Erkek,Çocuk Çocuk,18%,18.0
Erkek,Erkek,Günlük Casual,18%,18.0
Erkek,Erkek,Günlük Klasik,18%,18.0
Erkek,Erkek,Günlük,18%,18.0
Erkek,Erkek,Günlük Espadril,18%,18.0
Erkek,Erkek,Günlük Makosen,18%,18.0
Erkek,Erkek,Günlük Loafer,18%,18.0
Erkek,Erkek,Günlük Oxford,18%,18.0
Erkek,Erkek,Terlik,18%,18.0
Erkek,Erkek,Terlik,18%,18.0
Erkek,Erkek,Terlik,18%,18.0
Erkek,Erkek,Terlik & Deniz,18%,18.0
Erkek,Erkek,Terliği,18%,18.0
Erkek,Erkek,Terliği & Panduf,18%,18.0
Ayakkabı,Ayakkabı,Erkek Bot,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Erkek,Erkek,Yağmur,18%,18.0
Erkek,Erkek,Cüzdan,18%,18.0
Erkek,Erkek,Çantası,18%,18.0
Erkek,Erkek,Evrak Evrak,18%,18.0
Erkek,Erkek,Postacı Postacı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Erkek,Erkek,Çanta Çanta,18%,18.0
Ayakkabı,Ayakkabı,Kadın Bot,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Yağmur,18%,18.0
Dolgu,Dolgu,Topuklu,18%,18.0
Klasik,Klasik,Topuklu,18%,18.0
Platform,Platform,Topuklu,18%,18.0
Ayakkabı,Ayakkabı,Stiletto,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Günlük Casual,18%,18.0
Kadın,Kadın,Günlük,18%,18.0
Kadın,Kadın,Günlük,18%,18.0
Kadın,Kadın,Günlük Espadril,18%,18.0
Kadın,Kadın,Günlük Loafer,18%,18.0
Kadın,Kadın,Günlük Oxford,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Deniz,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Panduf,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Abiye Abiye,18%,18.0
Kadın,Kadın,Cüzdan,18%,18.0
Kadın,Kadın,Çanta Çanta,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Omuz Omuz,18%,18.0
Kadın,Kadın,Postacı Postacı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Kadın,Kadın,Evrak Evrak,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Ayakkabı,Ayakkabı,Ayakkabı,18%,18.0
Bez,Bez,Alışveriş Alışveriş,18%,18.0
Kadın,Kadın,Kadın,18%,18.0
Çocuk,Çocuk,Giyim & Aksesuar,20%,20.0
Çocuk,Çocuk,Giyim & Aksesuar Pantolon Pantolon,20%,20.0
Çocuk,Kravat,Giyim & Aksesuar Papyon,20%,20.0
