Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Otomobil & Motosiklet,4x4 Off Road,4x4 Off Road,10.0
Yapı Market & Bahçe,Ahşap Ürünleri,Ahşap Ürünleri,12.0
Kitap,Akademik Bilgiler,Akademik Bilgiler,12.0
Fotoğraf & Kamera,Aksiyon Kameralar,Aksiyon Kameralar,10.0
Elektronik / Akıllı Güvenlik Sistemleri,Aktif Network Ürünleri,Aktif Network Ürünleri,12.0
Hobi & Oyuncak,Aktivite ve Eğitici Oyuncaklar,Aktivite ve Eğitici Oyuncaklar,15.0
Hobi & Oyuncak,Akülü ve Pedallı Araçlar,Akülü ve Pedallı Araçlar,15.0
Elektronik / Akıllı Güvenlik Sistemleri,Akıllı Ev Sistemleri,Akıllı Ev Sistemleri,12.0
Elektronik / Akıllı Güvenlik Sistemleri,Alarm Sistemleri,Alarm Sistemleri,12.0
Elektronik / Beyaz Eşya,Ankastre Setler,Ankastre Setler,12.0
Elektronik / Beyaz Eşya,Aspiratörler,Aspiratörler,12.0
Giyim & Aksesuar,Ayakkabı Bakım Koruma Malzemeleri,Ayakkabı Bakım Koruma Malzemeleri,15.0
Yapı Market & Bahçe,Aydınlatma,Aydınlatma,12.0
Hobi & Oyuncak,Açık Hava Oyuncakları,Açık Hava Oyuncakları,15.0
Elektronik / Bilgisayar & Tablet,Ağ ve Modem,Ağ ve Modem,10.0
Yapı Market & Bahçe,Bahçe Aletleri,Bahçe Aletleri,12.0
Yapı Market & Bahçe,Bahçe Dekorasyonu,Bahçe Dekorasyonu,15.0
Yapı Market & Bahçe,Bahçe Makineleri,Bahçe Makineleri,12.0
Yapı Market & Bahçe,Bahçe Mobilyasi,Bahçe Mobilyasi,15.0
Yapı Market & Bahçe,Bahçe Sulama Ekipmanları,Bahçe Sulama Ekipmanları,12.0
Yapı Market & Bahçe,Bahçe ve Ev Kovucular,Bahçe ve Ev Kovucular,15.0
Petshop,Balık,Balık,15.0
Ofis ve Kırtasiye,Bantal ve Yapıştırıcılar,Bantal ve Yapıştırıcılar,10.0
Yapı Market & Bahçe,Banyo ve Mutfak Vitrifiye,Banyo ve Mutfak Vitrifiye,12.0
Yapı Market & Bahçe,Banyo Ürünleri,Banyo Ürünleri,15.0
Ev Dekorasyon,Banyo-Banyo Aksesuarları,Banyo-Banyo Aksesuarları,15.0
Elektronik / Bilgisayar & Tablet,Barkod Ürünleri,Barkod Ürünleri,10.0
Elektronik / Bilgisayar & Tablet,Barkod Ürünleri - Barkod Okuyucular,Barkod Ürünleri - Barkod Okuyucular,10.0
Giyim & Aksesuar,Bavul ve Valiz,Bavul ve Valiz,15.0
"Anne, Bebek, Oyuncak",Bebek Arabaları ve Aksesuarları,Bebek Arabaları ve Aksesuarları,12.0
"Anne, Bebek, Oyuncak",Bebek Bakım ve Sağlık,Bebek Bakım ve Sağlık,12.0
"Anne, Bebek, Oyuncak",Bebek Bakım Çantası,Bebek Bakım Çantası,15.0
"Anne, Bebek, Oyuncak",Bebek Banya ve Tuvalet Eğitimi,Bebek Banya ve Tuvalet Eğitimi,12.0
"Anne, Bebek, Oyuncak",Bebek Bezi & Islak Mnedil & Alt Açma,Bebek Bezi & Islak Mnedil & Alt Açma,15.0
"Anne, Bebek, Oyuncak",Bebek Giyim,Bebek Giyim,15.0
"Anne, Bebek, Oyuncak",Bebek Güvenliği,Bebek Güvenliği,12.0
"Anne, Bebek, Oyuncak",Bebek Maması,Bebek Maması,10.0
"Anne, Bebek, Oyuncak",Bebek Odası ve Mobilya,Bebek Odası ve Mobilya,15.0
"Anne, Bebek, Oyuncak",Bebek Oyuncak,Bebek Oyuncak,15.0
Hobi & Oyuncak,Bebek Oyuncakları,Bebek Oyuncakları,15.0
"Anne, Bebek, Oyuncak",Beslenme Gereçleri,Beslenme Gereçleri,12.0
Elektronik / Beyaz Eşya,Beyaz Eşya Yedek Parça,Beyaz Eşya Yedek Parça,12.0
"Anne, Bebek, Oyuncak",Biberoni Emzik ve Aksesuarları,Biberoni Emzik ve Aksesuarları,12.0
Elektronik / Bilgisayar & Tablet,Bilgisayar Aksesuarları,Bilgisayar Aksesuarları,12.0
Elektronik / Bilgisayar & Tablet,Bilgisayar Bileşenleri,Bilgisayar Bileşenleri,8.0
Kitap,Bilgisayar ve İnternet,Bilgisayar ve İnternet,12.0
Elektronik / Televizyon & Ses Sistemleri,Bluetooth Hoparlörler,Bluetooth Hoparlörler,10.0
Yapı Market & Bahçe,Boya ve Boya Malzemeleri,Boya ve Boya Malzemeleri,12.0
Elektronik / Beyaz Eşya,Bulaşık Makineleri,Bulaşık Makineleri,10.0
Elektronik / Beyaz Eşya,Buzdolapları,Buzdolapları,10.0
Elektronik / Telefonlar & Aksesuarları,Cep Telefonları,Cep Telefonları,5.0
Elektronik / Telefonlar & Aksesuarları,Cep Telefonu Aksesuarları,Cep Telefonu Aksesuarları,15.0
Elektronik / Telefonlar & Aksesuarları,Cep Telefonu Yedek Parçaları,Cep Telefonu Yedek Parçaları,15.0
Elektronik / Beyaz Eşya,Davlumbazlar,Davlumbazlar,12.0
Ev Dekorasyon,Dekorasyon,Dekorasyon,15.0
Elektronik / Beyaz Eşya,Derin Dondurucular,Derin Dondurucular,10.0
Kitap,Ders ve Eğitim,Ders ve Eğitim,12.0
Süpermarket,Deterjan ve Temizlik Ürünleri,Deterjan ve Temizlik Ürünleri,11.0
Fotoğraf & Kamera,Dijital Fotoğraf Çerçeveleri,Dijital Fotoğraf Çerçeveleri,10.0
Elektronik / Elektrikli Ev & Mutfak Aletleri,Dikiş Makineleri,Dikiş Makineleri,10.0
Kitap,Din ve Mitoloji,Din ve Mitoloji,12.0
Elektronik / Bilgisayar & Tablet,Dizüstü Bilgisayarlar,Dizüstü Bilgisayarlar,6.0
Ofis ve Kırtasiye,Dosyalama ve Organizasyon,Dosyalama ve Organizasyon,10.0
Fotoğraf & Kamera,"Dürbünler, Teleskoplar ve Optikler","Dürbünler, Teleskoplar ve Optikler",10.0
Kitap,Edebiyat ve Kurgu,Edebiyat ve Kurgu,12.0
Kitap,Ekonomi ve Finans,Ekonomi ve Finans,12.0
